Matériau;Incinération - Impact (kg éq. CO2/tonne);Recyclage - Impact (kg éq. CO2/tonne);Méthanisation - Impact (kg éq. CO2/tonne);Incinération - Émissions Évitées (kg éq. CO2/tonne);Recyclage - Émissions Évitées (kg éq. CO2/tonne);Méthanisation - Émissions Évitées (kg éq. CO2/tonne)
Plastique rigide PS-PSE;2970;18;N/A;-704;-1705;N/A
Plastique biosourcé PP;122;18;N/A;-768;-1310;N/A
Plastique pétrosourcé PP;2770;18;N/A;-768;-1310;N/A
Plastique biosourcé PE;122;18;N/A;-747;-1130;N/A
Plastique pétrosourcé PE;2770;18;N/A;-747;-1130;N/A
Acier;N/A;18;N/A;N/A;-2090;N/A
Aluminium;N/A;873;N/A;N/A;-8430;N/A
Verre;130;639;N/A;N/A;-1160;N/A
Carton;120;992;110;-260;-379;-77
Plastique pétrosourcé PET;2140;662;N/A;-384;-1740;N/A
Plastique biosourcé PET;160;18;N/A;-384;-1740;N/A
Ordures ménagères résiduelles;374;18;110;-212;N/A;-77
Déchets putrescibles;45;N/A;N/A;-126;N/A;N/A
Céramiques et autres inertes;130;N/A;N/A;N/A;N/A;N/A
Bois;69;N/A;N/A;-405;N/A;N/A
Autres plastiques complexes;2660;N/A;N/A;-651;N/A;N/A
Plastique rigide PVC;4610;141;N/A;-299;-1850;N/A
Plastique moyen;5560;N/A;N/A;-626;N/A;N/A
Déchets alimentaires;2930;N/A;18;-97.3;N/A;-77
Déchets de cuisine;N/A;N/A;173;N/A;N/A;-12
Plastique rigide PE bouteilles;2915;434;N/A;-1093;-1440;N/A
Plastique rigide PE autres emballages;2915;434;N/A;-1093;-1440;N/A
Plastique souple PE;2915;530;N/A;-1093;-1130;N/A
Plastique rigide PP bouteilles;2915;434;N/A;-1093;-1310;N/A
Plastique rigide PP autres emballages;2915;434;N/A;-1093;-1310;N/A
Plastique rigide PET bouteilles;2915;662;N/A;-1093;-1740;N/A
Plastique rigide PET autres emballages;2915;662;N/A;-1093;-1740;N/A
Plastique rigide PET/Recyclage paillettes;2915;480;N/A;-1093;-1510;N/A
Plastique rigide PET/Recyclage granulés;2915;548;N/A;-1093;-1630;N/A
Plastique souple PE/Recyclage granulés;2915;134;N/A;-1093;-1640;N/A
Plastique rigide PP/Recyclage granulés;2915;173;N/A;-1093;-1600;N/A
Plastique rigide PE/Recyclage paillettes;2915;258;N/A;-1093;-1450;N/A
Plastique rigide PE/Recyclage granulés;2915;313;N/A;-1093;-1390;N/A
Aluminium/Recyclage;N/A;873;N/A;N/A;-8430;N/A
Verre/Recyclage;N/A;639;N/A;N/A;-1160;N/A
Carton/Recyclage;N/A;992;N/A;N/A;-379;N/A
Déchets de cuisine/Méthanisation;N/A;N/A;173;N/A;N/A;-12
Bois de classe B;N/A;N/A;N/A;N/A;N/A;-24
Plastique rigide PVC/Recyclage;2915;141;N/A;-1093;-1850;N/A
